subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
seed20260910_n5000,5000,Attentive CNP,m1,0,100,SE,SE,supported,1356,657,-28.4731482603952,-0.0071965610556112836,28.465951699339588
seed20260910_n5000,5000,Attentive CNP,m1,0,100,FE,FE,supported,8522,202,-2.4836125950074477,-0.34312182709731465,2.140490767910133
seed20260910_n5000,5000,Attentive CNP,m1,0,101,DEP,DEP,supported,828,464,21.01865733799767,-0.013143371109258783,21.03180070910693
seed20260910_n5000,5000,Attentive CNP,m1,0,101,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01749397933953345,25.52966435379882
seed20260910_n5000,5000,Attentive CNP,m1,0,101,SE,SE,supported,1356,657,-28.4731482603952,-0.008652969239009156,28.46449529115619
seed20260910_n5000,5000,Attentive CNP,m1,0,101,FE,FE,supported,8522,202,-2.4836125950074477,-0.3471545385292485,2.136458056478199
seed20260910_n5000,5000,Attentive CNP,m1,0,102,DEP,DEP,supported,828,464,21.01865733799767,-0.014692402492411105,21.03334974049008
seed20260910_n5000,5000,Attentive CNP,m1,0,102,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01614904807581974,25.531009285062535
seed20260910_n5000,5000,Attentive CNP,m1,0,102,SE,SE,supported,1356,657,-28.4731482603952,-0.009561804137514507,28.463586456257683
seed20260910_n5000,5000,Attentive CNP,m1,0,102,FE,FE,supported,8522,202,-2.4836125950074477,-0.3481592523111421,2.1354533426963056
seed20260910_n5000,5000,Attentive CNP,m1,0,103,DEP,DEP,supported,828,464,21.01865733799767,-0.015020180501035263,21.033677518498706
seed20260910_n5000,5000,Attentive CNP,m1,0,103,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.014130490252650674,25.5330278428857
seed20260910_n5000,5000,Attentive CNP,m1,0,103,SE,SE,supported,1356,657,-28.4731482603952,-0.006452413302704407,28.466695847092495
seed20260910_n5000,5000,Attentive CNP,m1,0,103,FE,FE,supported,8522,202,-2.4836125950074477,-0.3417072780907249,2.141905316916723
seed20260910_n5000,5000,Attentive CNP,m1,0,104,DEP,DEP,supported,828,464,21.01865733799767,-0.013424743400047845,21.032082081397718
seed20260910_n5000,5000,Attentive CNP,m1,0,104,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.014423016930564803,25.532735316207788
seed20260910_n5000,5000,Attentive CNP,m1,0,104,SE,SE,supported,1356,657,-28.4731482603952,-0.008140086576335914,28.465008173818863
seed20260910_n5000,5000,Attentive CNP,m1,0,104,FE,FE,supported,8522,202,-2.4836125950074477,-0.3460940658873979,2.13751852912005
seed20260910_n5000,5000,Attentive CNP,m1,0,105,DEP,DEP,supported,828,464,21.01865733799767,-0.015238064520439742,21.03389540251811
seed20260910_n5000,5000,Attentive CNP,m1,0,105,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01635856029527094,25.530799772843082
seed20260910_n5000,5000,Attentive CNP,m1,0,105,SE,SE,supported,1356,657,-28.4731482603952,-0.00712535206627285,28.466022908328924
seed20260910_n5000,5000,Attentive CNP,m1,0,105,FE,FE,supported,8522,202,-2.4836125950074477,-0.34367944919457827,2.1399331458128694
seed20260910_n5000,5000,Attentive CNP,m1,0,106,DEP,DEP,supported,828,464,21.01865733799767,-0.015448452366462195,21.034105790364134
seed20260910_n5000,5000,Attentive CNP,m1,0,106,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0128569388416655,25.534301394296687
seed20260910_n5000,5000,Attentive CNP,m1,0,106,SE,SE,supported,1356,657,-28.4731482603952,-0.006574413625459741,28.466573846769737
seed20260910_n5000,5000,Attentive CNP,m1,0,106,FE,FE,supported,8522,202,-2.4836125950074477,-0.34156012267024805,2.1420524723371996
seed20260910_n5000,5000,Attentive CNP,m1,0,107,DEP,DEP,supported,828,464,21.01865733799767,-0.014770335346392383,21.033427673344065
seed20260910_n5000,5000,Attentive CNP,m1,0,107,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.014477268891921469,25.532681064246432
seed20260910_n5000,5000,Attentive CNP,m1,0,107,SE,SE,supported,1356,657,-28.4731482603952,-0.005924427647685526,28.467223832747514
seed20260910_n5000,5000,Attentive CNP,m1,0,107,FE,FE,supported,8522,202,-2.4836125950074477,-0.3459349292392111,2.1376776657682366
seed20260910_n5000,5000,Attentive CNP,m1,0,108,DEP,DEP,supported,828,464,21.01865733799767,-0.014184757549562388,21.03284209554723
seed20260910_n5000,5000,Attentive CNP,m1,0,108,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0161849903576039,25.53097334278075
seed20260910_n5000,5000,Attentive CNP,m1,0,108,SE,SE,supported,1356,657,-28.4731482603952,-0.008109284431212505,28.465038975963985
seed20260910_n5000,5000,Attentive CNP,m1,0,108,FE,FE,supported,8522,202,-2.4836125950074477,-0.3449226197821731,2.1386899752252746
seed20260910_n5000,5000,Attentive CNP,m1,0,109,DEP,DEP,supported,828,464,21.01865733799767,-0.01520419836184006,21.03386153635951
seed20260910_n5000,5000,Attentive CNP,m1,0,109,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01423228282273481,25.53292605031562
seed20260910_n5000,5000,Attentive CNP,m1,0,109,SE,SE,supported,1356,657,-28.4731482603952,-0.007016136372839377,28.46613212402236
seed20260910_n5000,5000,Attentive CNP,m1,0,109,FE,FE,supported,8522,202,-2.4836125950074477,-0.3441200288051949,2.139492566202253
seed20260910_n5000,5000,Attentive CNP,m1,1,100,DEP,DEP,supported,828,464,21.01865733799767,-0.01073947491525562,21.029396812912925
seed20260910_n5000,5000,Attentive CNP,m1,1,100,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.006095412123974242,25.553253745262328
seed20260910_n5000,5000,Attentive CNP,m1,1,100,SE,SE,supported,1356,657,-28.4731482603952,0.00015215110882316196,28.47330041150402
seed20260910_n5000,5000,Attentive CNP,m1,1,100,FE,FE,supported,8522,202,-2.4836125950074477,-0.3726580482233455,2.1109545467841024
seed20260910_n5000,5000,Attentive CNP,m1,1,101,DEP,DEP,supported,828,464,21.01865733799767,-0.010843068667842903,21.029500406665512
seed20260910_n5000,5000,Attentive CNP,m1,1,101,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.0052576372253421155,25.552415970363697
seed20260910_n5000,5000,Attentive CNP,m1,1,101,SE,SE,supported,1356,657,-28.4731482603952,-0.0012143423499533235,28.471933918045245
seed20260910_n5000,5000,Attentive CNP,m1,1,101,FE,FE,supported,8522,202,-2.4836125950074477,-0.37863733631425256,2.1049752586931954
seed20260910_n5000,5000,Attentive CNP,m1,1,102,DEP,DEP,supported,828,464,21.01865733799767,-0.011037896068777364,21.02969523406645
seed20260910_n5000,5000,Attentive CNP,m1,1,102,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.0037117903083139225,25.550870123446668
seed20260910_n5000,5000,Attentive CNP,m1,1,102,SE,SE,supported,1356,657,-28.4731482603952,-0.001297332392313777,28.471850928002883
seed20260910_n5000,5000,Attentive CNP,m1,1,102,FE,FE,supported,8522,202,-2.4836125950074477,-0.38141834569310196,2.102194249314346
seed20260910_n5000,5000,Attentive CNP,m1,1,103,DEP,DEP,supported,828,464,21.01865733799767,-0.010054221899602478,21.028711559897275
seed20260910_n5000,5000,Attentive CNP,m1,1,103,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.005244740687648797,25.552403073826003
seed20260910_n5000,5000,Attentive CNP,m1,1,103,SE,SE,supported,1356,657,-28.4731482603952,0.0015365705107850403,28.474684830905982
seed20260910_n5000,5000,Attentive CNP,m1,1,103,FE,FE,supported,8522,202,-2.4836125950074477,-0.3609112794058733,2.1227013156015744
seed20260910_n5000,5000,Attentive CNP,m1,1,104,DEP,DEP,supported,828,464,21.01865733799767,-0.00934178643543504,21.027999124433105
seed20260910_n5000,5000,Attentive CNP,m1,1,104,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,0.0060313417300283945,25.55318967486838
