method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,2,104,500,full,Full 500-3000 keV,442,58,114299,5.028677225065978,6.906583329579802
CNP,m0,18866,2,104,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.4927451054289085,10.075630353511542
CNP,m0,18866,2,104,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.01812685801672,13.553138996128704
CNP,m0,18866,2,104,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.220562642827927,6.094251271642385
CNP,m0,18866,2,104,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.912275992174932,16.882693725539305
CNP,m0,18866,2,104,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,3.991886436157512,4.834524397573232
CNP,m0,18866,2,104,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.470927154694164,4.155988374076549
CNP,m0,18866,2,104,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.657128455829696,9.45881336240719
CNP,m0,18866,2,105,500,full,Full 500-3000 keV,442,58,114299,4.991622102899735,6.8556225727668885
CNP,m0,18866,2,105,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.492306544543171,10.126666217498622
CNP,m0,18866,2,105,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.963515351970324,13.47452205597673
CNP,m0,18866,2,105,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.142081764514648,6.000902538784477
CNP,m0,18866,2,105,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.749057665205438,16.75831160383219
CNP,m0,18866,2,105,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.114982571345425,4.950859884426078
CNP,m0,18866,2,105,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.54433183952795,4.2565236525896015
CNP,m0,18866,2,105,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.629847292169773,9.427705320392676
CNP,m0,18866,2,106,500,full,Full 500-3000 keV,442,58,114299,5.046246018494827,6.929299505266664
CNP,m0,18866,2,106,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.493094395341148,10.048625143066136
CNP,m0,18866,2,106,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.048336262485597,13.597044752035734
