subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n10000,original,10k,10000,9980,CNP,m0,DEP_1592_pm5,1,20.0,7.027283689263065,26.457513110645905,30
original_n10000,original,10k,10000,9980,CNP,m0,DEP_1592_pm5,2,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,DEP_1592_pm5,3,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,feature_1620_pm5,2,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,feature_1620_pm5,3,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,overall_500_3000,1,49.35143288084465,0.4545184189001182,0.6432398985381593,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,overall_500_3000,2,82.48868778280543,0.2918850477347792,0.18518897673918852,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,overall_500_3000,3,93.1598793363499,0.09553937488519652,0.248182242411825,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,FE_2614_pm5,1,18.333333333333332,5.270462766947299,27.537852736430512,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,FE_2614_pm5,2,53.333333333333336,7.027283689263065,50.33222956847166,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,FE_2614_pm5,3,81.66666666666667,5.270462766947299,31.754264805429415,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,SE_2103_pm5,3,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,DEP_1592_pm5,1,20.0,7.027283689263065,26.457513110645905,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,DEP_1592_pm5,2,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,Attentive CNP,m1,DEP_1592_pm5,3,50.0,0.0,0.0,30
