energy_kev,grid_spacing_kev,illustrative__original_n5000__m0,illustrative__original_n5000__m1,illustrative__original_n5000__m2,illustrative__original_n5000__ours,illustrative__context_only__kernel_context_only,illustrative__full_n18866_plus_context__kernel_pooled_data,illustrative__context_only__bernoulli_gp_matern32
641.0,1.0,0.3982240092754364,0.37444897592067716,0.2125444331765175,0.4001810395717621,0.3413812816143036,0.44167575240135193,0.569103790422389
642.0,1.0,0.3898850506544113,0.3732477754354477,0.24863489151000975,0.40175585508346556,0.34091052412986755,0.4430018961429596,0.5649574985947652
643.0,1.0,0.3887886255979538,0.3813248670101166,0.1798321271315217,0.40227492213249205,0.340435266494751,0.44408997893333435,0.5606354908106681
644.0,1.0,0.38567547500133514,0.3860266751050949,0.11851645775139331,0.39772467851638793,0.33995550870895386,0.44495078921318054,0.5561802703624892
645.0,1.0,0.38870855152606965,0.37869892120361326,0.16506081990897656,0.39896618127822875,0.3394711911678314,0.4455961585044861,0.5516330144111379
646.0,1.0,0.3843093621730804,0.3854428517818451,0.16006132431328296,0.39849532961845396,0.33898231387138367,0.4460383951663971,0.5470340456796237
647.0,1.0,0.3848725736141205,0.3917575979232788,0.22731479667127133,0.4050473439693451,0.338488906621933,0.44629019498825073,0.5424232862649347
648.0,1.0,0.3873728477954865,0.3756964874267578,0.26609343752264975,0.40139649927616117,0.3379909098148346,0.44636449217796326,0.5378406893933203
649.0,1.0,0.3879833221435547,0.3759456413984299,0.23549630850553513,0.3988103502988815,0.3374883532524109,0.4462741017341614,0.5333343834599873
650.0,1.0,0.39337299287319183,0.3837261378765106,0.24574784561991692,0.4021748119592667,0.33698123693466187,0.44603168964385986,0.5289783065948725
651.0,1.0,0.39067298591136934,0.3851971083879471,0.2983101212978363,0.4049203372001648,0.33646953105926514,0.4456497132778168,0.5247562827034216
652.0,1.0,0.3910288780927658,0.37911484479904173,0.2651434250921011,0.3954139941930771,0.3359532356262207,0.44514015316963196,0.5205861234969547
653.0,1.0,0.38886954545974733,0.3811500859260559,0.6976948708295823,0.40266271114349367,0.33543238043785095,0.44451460242271423,0.5163862282668568
654.0,1.0,0.3874907803535461,0.3834282290935516,0.5433424824476242,0.4016223216056824,0.3349069356918335,0.4437841475009918,0.5121049039504761
655.0,1.0,0.38867444574832916,0.375900901556015,0.5407092142105102,0.3994094705581665,0.33437690138816833,0.4429592192173004,0.5077102094581551
656.0,1.0,0.39250929176807403,0.3824031203985214,0.6310257077217102,0.4051266324520111,0.33384227752685547,0.44204971194267273,0.5031698222012544
