subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,106,500,7.460546362407808,5.819576101526249,12.215610377941513,0.2323442263538531,0.20766298320017157,1.2497735600918531,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,107,500,7.451062608051902,5.797769710478687,12.394226848085378,0.23239221881786956,0.20768638248361257,1.0371740069240332,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,108,500,7.47318079034592,5.815016087284386,11.804453057537858,0.2323878199978934,0.20748295902531838,1.0826193913817406,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s108-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,109,500,7.466887197402686,5.840548593294013,12.179495701105793,0.23230912278072846,0.20767696185660922,1.2915484979748726,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,100,500,8.820118921808504,4.730143389319558,15.14944574360364,0.2336531225442204,0.2104995551349123,1.1121523878537118,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s100-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,101,500,8.77280765587633,4.732436486207263,15.036559005440536,0.23360144539018904,0.2103759828978613,1.2018158622086048,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,102,500,8.803419341454557,4.733869287437596,15.082342384817698,0.23363333375267978,0.21046393048648257,1.302790863905102,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,103,500,8.779405188840778,4.7261529427326785,15.12851160074219,0.2335931268942979,0.2103324029775627,1.2981029599905014,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s103-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,104,500,8.781240692671547,4.726292730523271,15.120454388066799,0.23360508245907946,0.21035739303359038,0.9999595209956169,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,105,500,8.79952925994599,4.7247434347628126,15.1743509858642,0.2336246725623591,0.21040639277252532,1.1871744776144624,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,106,500,8.784106506573815,4.728202894811708,15.117273173189888,0.23361069284751468,0.21037558947575338,1.3718531653285027,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,107,500,8.781456164915834,4.7272800922185745,15.120801258992556,0.23360211863712854,0.210358681235276,1.526452488731593,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,108,500,8.760872860003628,4.730526853693886,15.055924271976393,0.23357225073585092,0.21030796124374357,1.237293170299381,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s108-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,2,109,500,8.795039751655295,4.728645768097851,15.132261287771687,0.23363114036102853,0.21042232622107984,1.121033406816423,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed2-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP + PE,m2,0,100,500,15.673388044158362,13.499287150575478,29.218759964948603,0.2567812595125864,0.23559363392624275,0.871573353651911,821.63671875,20260909-phase3-seed20260911_n5000-m2-seed0-final-ctx-s100-n500-drop10100-mc50
