method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP + PE,m2,2000,1,107,500,phase2_new_evaluation,15.986514451453667,16.75033108840133,30.013062432910697,0.2856217048097261,0.2685959542322188,0.3304041395895183,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s107-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,108,500,phase2_new_evaluation,16.399300433985346,16.823060032505587,27.65253097978079,0.2832656535118758,0.26507852659683573,0.33460233779624104,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s108-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,109,500,phase2_new_evaluation,16.600188397086963,16.828691177107398,26.20742064942519,0.28290605479603415,0.26367212818110436,0.33092000894248486,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s109-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,100,500,phase2_new_evaluation,12.016710474823535,16.036135315196937,37.15830122766422,0.2827532105086485,0.2739918062257176,0.32749290531501174,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s100-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,101,500,phase2_new_evaluation,12.78931773974101,16.89938993290347,35.47137669252808,0.2865071645970416,0.27791742807610764,0.33284988068044186,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s101-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,102,500,phase2_new_evaluation,12.089928631872985,16.49755951125442,36.81363708006741,0.28453076566446395,0.27509361332277454,0.33064882503822446,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s102-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,103,500,phase2_new_evaluation,11.291480262964185,16.230463791736753,41.614044224155485,0.28395679478454217,0.27962851287220747,0.3422108581289649,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s103-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,104,500,phase2_new_evaluation,11.676724362606471,16.211893376102537,38.5939719795203,0.28458029426081033,0.27696566076669027,0.33135877083987,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s104-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,105,500,phase2_new_evaluation,11.520464980813193,16.140296181210257,41.396062217039436,0.2837716470377595,0.27937249343261505,0.33596824016422033,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s105-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,106,500,phase2_new_evaluation,11.544905957998871,16.22060972486532,38.0061397978202,0.28434137726870506,0.2756693741555326,0.3330388911999762,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s106-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,107,500,phase2_new_evaluation,11.497622732473745,16.427652417227414,39.368316334307885,0.286385010826095,0.2804223541701961,0.33556755911558867,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s107-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,2,108,500,phase2_new_evaluation,11.665066689120199,16.58663985279514,39.98673511805044,0.2849609140516207,0.28029995072382435,0.334566009696573,821.63671875,20260909-phase2-b2000-m2-seed2-final-ctx-s108-n500-drop10100-mc50
