method,architecture_id,context_size,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_training_seed,mc_passes_per_cell
CNP,m0,500,730.0,0.4495575249592463,0.016373825731798027,0.0023478730495928592,3,10,50
CNP,m0,500,731.0,0.4527780294418335,0.017348931733672742,0.002294099035492993,3,10,50
CNP,m0,500,732.0,0.45541567430893576,0.014956655343900236,0.0023847910011907344,3,10,50
CNP,m0,500,733.0,0.45287873578071586,0.012280972033378992,0.002411602844713928,3,10,50
CNP,m0,500,734.0,0.45287245376904806,0.017606895099816947,0.002413543396059408,3,10,50
CNP,m0,500,735.0,0.4541319293777148,0.016760721160615263,0.002344975202542888,3,10,50
CNP,m0,500,736.0,0.4503208661079407,0.0131847534621649,0.0023871773671724486,3,10,50
CNP,m0,500,737.0,0.4568302091558774,0.015473634685567597,0.0022871081152449394,3,10,50
CNP,m0,500,738.0,0.4583509643673897,0.015389939263895657,0.0023815192908416467,3,10,50
CNP,m0,500,739.0,0.4570365789135297,0.015424983635665019,0.002310834042469357,3,10,50
CNP,m0,500,740.0,0.4536423676808676,0.017923243948429212,0.0023458740689723746,3,10,50
CNP,m0,500,741.0,0.4571711227496465,0.01713964764868877,0.002406077202151449,3,10,50
CNP,m0,500,742.0,0.4538016144037247,0.01622329886750855,0.002287535334026479,3,10,50
CNP,m0,500,743.0,0.45981714065869655,0.01375192357669242,0.0022590093733318504,3,10,50
CNP,m0,500,744.0,0.4537517729798952,0.011040759086573516,0.002369552858516157,3,10,50
CNP,m0,500,745.0,0.4541390719215075,0.013896660048599031,0.0023840648751556185,3,10,50
CNP,m0,500,746.0,0.4563011733094851,0.016592853069411793,0.0023223629346838448,3,10,50
CNP,m0,500,747.0,0.4577952123681704,0.012299123588534676,0.00240188775157421,3,10,50
CNP,m0,500,748.0,0.45959092245499295,0.01435326346194586,0.002323044958617297,3,10,50
CNP,m0,500,749.0,0.45651378118991853,0.01768103185736651,0.0023432654468483823,3,10,50
CNP,m0,500,750.0,0.4572743139664332,0.016436941048558463,0.0023749397093957452,3,10,50
CNP,m0,500,751.0,0.45852148900429407,0.01385930727097841,0.0023332631162129775,3,10,50
CNP,m0,500,752.0,0.4542815389235814,0.018579651862267944,0.0023061141054600324,3,10,50
CNP,m0,500,753.0,0.4585253527363142,0.018278341530267927,0.002365702560542343,3,10,50
CNP,m0,500,754.0,0.45541382493575416,0.01678886628212813,0.0023167083290630106,3,10,50
CNP,m0,500,755.0,0.4574883392055829,0.017408819242827576,0.0023774705002837663,3,10,50
CNP,m0,500,756.0,0.4561983261704445,0.015692541554644814,0.0023590717299840965,3,10,50
CNP,m0,500,757.0,0.45770215257008867,0.016826479378590213,0.0023245200291107486,3,10,50
CNP,m0,500,758.0,0.45982459825277333,0.011555696698448591,0.002343257482718906,3,10,50
CNP,m0,500,759.0,0.4598406108220418,0.015490285913042204,0.0023251449675985077,3,10,50
CNP,m0,500,760.0,0.45477756802241,0.019667551074825665,0.0023984340905064444,3,10,50
CNP,m0,500,761.0,0.4616020817359289,0.01648842140362423,0.0023446385428839765,3,10,50
CNP,m0,500,762.0,0.4583609767357508,0.014460045206047161,0.002327893883086172,3,10,50
CNP,m0,500,763.0,0.459116118768851,0.014550345203807812,0.0023693410617214275,3,10,50
CNP,m0,500,764.0,0.45930731076002124,0.013116768057395643,0.0023986118365494605,3,10,50
CNP,m0,500,765.0,0.46221132546663285,0.017363297326635142,0.0023666067844869978,3,10,50
CNP,m0,500,766.0,0.4579060485164324,0.01008901068017048,0.0023447554885053404,3,10,50
CNP,m0,500,767.0,0.46017140750090285,0.012270854775994348,0.0023948834601098547,3,10,50
CNP,m0,500,768.0,0.46182377298673,0.014408892630914818,0.0024095673649996135,3,10,50
CNP,m0,500,769.0,0.4606519414186477,0.010979589574338906,0.002432947536403253,3,10,50
CNP,m0,500,770.0,0.46584535904725394,0.010148905110704378,0.0022911300578951784,3,10,50
CNP,m0,500,771.0,0.4608525918126107,0.011909106319986726,0.0023739912270222007,3,10,50
