model,model_id,training_seed,context_seed,dropout_seed,region,n_events,brier,log_loss
Cell 17,cell17,0,102,10100,equal_region_mean,,0.23426475860353246,
Cell 17,cell17,0,103,10100,full,2074,0.2256709931152476,0.6440507482992957
Cell 17,cell17,0,103,10100,Bi-214,21,0.28209721523026154,0.7896811349095826
Cell 17,cell17,0,103,10100,continuum_1700_2000,154,0.24913514639136597,0.6914188810460798
Cell 17,cell17,0,103,10100,SE,36,0.20040128400643964,0.5920648818450207
Cell 17,cell17,0,103,10100,continuum_2200_2400,152,0.25124692705644863,0.6956456764842547
Cell 17,cell17,0,103,10100,FE,167,0.18801837734642604,0.5696981063127362
Cell 17,cell17,0,103,10100,equal_region_mean,,0.23417979000618838,
Cell 17,cell17,0,104,10100,full,2074,0.2255621418968776,0.6436899942908471
Cell 17,cell17,0,104,10100,Bi-214,21,0.28243867211462614,0.7908739095864826
Cell 17,cell17,0,104,10100,continuum_1700_2000,154,0.24912502468257455,0.6913986254068913
Cell 17,cell17,0,104,10100,SE,36,0.20041500231346415,0.592094675176589
Cell 17,cell17,0,104,10100,continuum_2200_2400,152,0.2512128089783744,0.6955770435363826
Cell 17,cell17,0,104,10100,FE,167,0.1874687008314737,0.5675437597686213
Cell 17,cell17,0,104,10100,equal_region_mean,,0.23413204178410263,
Cell 17,cell17,0,105,10100,full,2074,0.2256843400351902,0.6440158945161648
Cell 17,cell17,0,105,10100,Bi-214,21,0.2824308002008967,0.7908294347113971
Cell 17,cell17,0,105,10100,continuum_1700_2000,154,0.24914166080157815,0.6914319447577904
Cell 17,cell17,0,105,10100,SE,36,0.20042104561269025,0.5919015026388448
Cell 17,cell17,0,105,10100,continuum_2200_2400,152,0.25125700876723495,0.6956648249546047
Cell 17,cell17,0,105,10100,FE,167,0.18758331704522824,0.5679841286392948
Cell 17,cell17,0,105,10100,equal_region_mean,,0.23416676648552565,
Cell 17,cell17,0,106,10100,full,2074,0.22559349221052785,0.6437791480965526
Cell 17,cell17,0,106,10100,Bi-214,21,0.28213042248659664,0.7898413853970797
Cell 17,cell17,0,106,10100,continuum_1700_2000,154,0.24913584748220038,0.6914203812924639
Cell 17,cell17,0,106,10100,SE,36,0.20043636155996072,0.5919260780165467
Cell 17,cell17,0,106,10100,continuum_2200_2400,152,0.25125383910416055,0.695658420210262
Cell 17,cell17,0,106,10100,FE,167,0.1875797465469832,0.5679685084461537
Cell 17,cell17,0,106,10100,equal_region_mean,,0.23410724343598027,
Cell 17,cell17,0,107,10100,full,2074,0.22555564905082898,0.6437194580283129
Cell 17,cell17,0,107,10100,Bi-214,21,0.28217250817626444,0.7900282299875963
Cell 17,cell17,0,107,10100,continuum_1700_2000,154,0.24912371292051405,0.6913960018462211
Cell 17,cell17,0,107,10100,SE,36,0.2004406879770793,0.5921433585586624
Cell 17,cell17,0,107,10100,continuum_2200_2400,152,0.2512291104182927,0.6956095652917426
Cell 17,cell17,0,107,10100,FE,167,0.18794422342725228,0.5694195308484777
Cell 17,cell17,0,107,10100,equal_region_mean,,0.23418204858388053,
Cell 17,cell17,0,108,10100,full,2074,0.22565025220632673,0.6440092334484363
Cell 17,cell17,0,108,10100,Bi-214,21,0.2822699671572235,0.7903254023461201
Cell 17,cell17,0,108,10100,continuum_1700_2000,154,0.24912705336103733,0.6914026504143757
Cell 17,cell17,0,108,10100,SE,36,0.2004140880222571,0.5920691853639881
Cell 17,cell17,0,108,10100,continuum_2200_2400,152,0.2512472149539816,0.6956462793065398
Cell 17,cell17,0,108,10100,FE,167,0.18804878121867524,0.5698163192971819
Cell 17,cell17,0,108,10100,equal_region_mean,,0.23422142094263498,
Cell 17,cell17,0,109,10100,full,2074,0.22563347698779992,0.643957936191074
Cell 17,cell17,0,109,10100,Bi-214,21,0.2825951101343217,0.7913938416441708
Cell 17,cell17,0,109,10100,continuum_1700_2000,154,0.249094343692873,0.6913370824661957
Cell 17,cell17,0,109,10100,SE,36,0.20038194013923036,0.5920250890422021
Cell 17,cell17,0,109,10100,continuum_2200_2400,152,0.25125596316995,0.6956636573948032
Cell 17,cell17,0,109,10100,FE,167,0.18810270755618122,0.5700307245042806
Cell 17,cell17,0,109,10100,equal_region_mean,,0.23428601293851128,
