variant,method,context_size,energy_kev,mean_across_contexts,sd_across_overlapping_contexts
context_only,Gaussian kernel regression (context only),500,585.0,0.34127390682697295,0.04142768082902006
context_only,Gaussian kernel regression (context only),500,586.0,0.3413181811571121,0.04137726371344089
context_only,Gaussian kernel regression (context only),500,587.0,0.34136279225349425,0.04132665926902163
context_only,Gaussian kernel regression (context only),500,588.0,0.34140774607658386,0.041275862487886436
context_only,Gaussian kernel regression (context only),500,589.0,0.3414530247449875,0.041224891272148255
context_only,Gaussian kernel regression (context only),500,590.0,0.34149863123893737,0.04117374392989475
context_only,Gaussian kernel regression (context only),500,591.0,0.341544571518898,0.041122427068802286
context_only,Gaussian kernel regression (context only),500,592.0,0.3415908426046371,0.041070959466196495
context_only,Gaussian kernel regression (context only),500,593.0,0.3416374266147614,0.041019338065041586
context_only,Gaussian kernel regression (context only),500,594.0,0.34168433845043183,0.0409675634806405
context_only,Gaussian kernel regression (context only),500,595.0,0.3417315691709518,0.04091565601549354
context_only,Gaussian kernel regression (context only),500,596.0,0.3417791098356247,0.04086362453983338
context_only,Gaussian kernel regression (context only),500,597.0,0.3418269693851471,0.040811461762354506
context_only,Gaussian kernel regression (context only),500,598.0,0.34187512695789335,0.04075919212525592
context_only,Gaussian kernel regression (context only),500,599.0,0.34192360639572145,0.04070682239632062
context_only,Gaussian kernel regression (context only),500,600.0,0.34197238087654114,0.0406543520975232
context_only,Gaussian kernel regression (context only),500,601.0,0.34202144742012025,0.04060181322209341
context_only,Gaussian kernel regression (context only),500,602.0,0.3420708179473877,0.04054918808330799
context_only,Gaussian kernel regression (context only),500,603.0,0.3421204715967178,0.0404965125468952
context_only,Gaussian kernel regression (context only),500,604.0,0.34217041432857515,0.040443785592668445
context_only,Gaussian kernel regression (context only),500,605.0,0.3422206401824951,0.04039102135180727
context_only,Gaussian kernel regression (context only),500,606.0,0.34227114617824556,0.04033823512610761
context_only,Gaussian kernel regression (context only),500,607.0,0.3423219293355942,0.040285443205831814
context_only,Gaussian kernel regression (context only),500,608.0,0.34237297177314757,0.04023264552084801
context_only,Gaussian kernel regression (context only),500,609.0,0.34242428541183473,0.040179873716879685
context_only,Gaussian kernel regression (context only),500,610.0,0.3424758642911911,0.04012713580377247
context_only,Gaussian kernel regression (context only),500,611.0,0.3425276905298233,0.04007444269092675
context_only,Gaussian kernel regression (context only),500,612.0,0.34257976412773133,0.040021806746930774
context_only,Gaussian kernel regression (context only),500,613.0,0.34263208508491516,0.03996925901630763
context_only,Gaussian kernel regression (context only),500,614.0,0.34268465638160706,0.03991680760875347
context_only,Gaussian kernel regression (context only),500,615.0,0.34273744821548463,0.03986446980747037
context_only,Gaussian kernel regression (context only),500,616.0,0.3427904784679413,0.039812279122791894
context_only,Gaussian kernel regression (context only),500,617.0,0.34284372329711915,0.03976022166198309
context_only,Gaussian kernel regression (context only),500,618.0,0.34289718568325045,0.03970834656532822
context_only,Gaussian kernel regression (context only),500,619.0,0.3429508596658707,0.03965665545969374
context_only,Gaussian kernel regression (context only),500,620.0,0.34300473928451536,0.039605190608768874
context_only,Gaussian kernel regression (context only),500,621.0,0.34305881559848783,0.03955395156690995
context_only,Gaussian kernel regression (context only),500,622.0,0.34311307966709137,0.03950296118953222
context_only,Gaussian kernel regression (context only),500,623.0,0.34316754043102266,0.03945226462722889
context_only,Gaussian kernel regression (context only),500,624.0,0.34322217106819153,0.039401854717084864
context_only,Gaussian kernel regression (context only),500,625.0,0.3432769775390625,0.03935177191428719
context_only,Gaussian kernel regression (context only),500,626.0,0.3433319479227066,0.039302045842974066
context_only,Gaussian kernel regression (context only),500,627.0,0.34338708221912384,0.03925269893637578
context_only,Gaussian kernel regression (context only),500,628.0,0.3434423625469208,0.03920373570331169
context_only,Gaussian kernel regression (context only),500,629.0,0.3434977889060974,0.03915521260523133
context_only,Gaussian kernel regression (context only),500,630.0,0.34355335533618925,0.039107136377738154
context_only,Gaussian kernel regression (context only),500,631.0,0.34360904693603517,0.03905954532664343
context_only,Gaussian kernel regression (context only),500,632.0,0.3436648607254028,0.03901246623128267
context_only,Gaussian kernel regression (context only),500,633.0,0.3437207996845245,0.03896592396118008
context_only,Gaussian kernel regression (context only),500,634.0,0.3437768369913101,0.03891995027525005
context_only,Gaussian kernel regression (context only),500,635.0,0.3438329815864563,0.038874577336956984
context_only,Gaussian kernel regression (context only),500,636.0,0.3438892185688019,0.03882982981102516
context_only,Gaussian kernel regression (context only),500,637.0,0.3439455389976501,0.038785741523169735
context_only,Gaussian kernel regression (context only),500,638.0,0.3440019369125366,0.038742358585796666
context_only,Gaussian kernel regression (context only),500,639.0,0.3440584033727646,0.0386996850666753
context_only,Gaussian kernel regression (context only),500,640.0,0.3441149353981018,0.03865779381967385
context_only,Gaussian kernel regression (context only),500,641.0,0.34417152106761933,0.03861667482189523
context_only,Gaussian kernel regression (context only),500,642.0,0.34422815442085264,0.038576397609177214
context_only,Gaussian kernel regression (context only),500,643.0,0.34428482949733735,0.03853697575747605
context_only,Gaussian kernel regression (context only),500,644.0,0.3443415254354477,0.038498458858948446
context_only,Gaussian kernel regression (context only),500,645.0,0.3443982541561127,0.038460872292043743
context_only,Gaussian kernel regression (context only),500,646.0,0.3444549947977066,0.03842425760525256
context_only,Gaussian kernel regression (context only),500,647.0,0.34451174139976504,0.03838864963946784
context_only,Gaussian kernel regression (context only),500,648.0,0.34456849098205566,0.03835409909795664
context_only,Gaussian kernel regression (context only),500,649.0,0.3446252286434174,0.03832062810587592
context_only,Gaussian kernel regression (context only),500,650.0,0.34468195736408236,0.03828827805307588
context_only,Gaussian kernel regression (context only),500,651.0,0.3447386592626572,0.038257087151156215
context_only,Gaussian kernel regression (context only),500,652.0,0.34479532539844515,0.0382271013654302
context_only,Gaussian kernel regression (context only),500,653.0,0.34485195875167846,0.03819835835282806
context_only,Gaussian kernel regression (context only),500,654.0,0.3449085414409637,0.038170897522087126
context_only,Gaussian kernel regression (context only),500,655.0,0.34496507346630095,0.03814475718176605
context_only,Gaussian kernel regression (context only),500,656.0,0.34502153694629667,0.03811997205254993
context_only,Gaussian kernel regression (context only),500,657.0,0.3450779438018799,0.03809659761164904
context_only,Gaussian kernel regression (context only),500,658.0,0.34513427317142487,0.038074665277902625
