method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Density-guided CNP (ours),cell17,1,102,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.85794642844932,4.689211904689033
Density-guided CNP (ours),cell17,1,102,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.372526270538657,4.10062198985654
Density-guided CNP (ours),cell17,1,102,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,1.1415754313172266,3.6251880263246745
Density-guided CNP (ours),cell17,1,103,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.114153926626443,2.9045034113712287
Density-guided CNP (ours),cell17,1,103,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.883945143881675,4.663213189256677
Density-guided CNP (ours),cell17,1,103,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.25105751535505,4.222090745040147
Density-guided CNP (ours),cell17,1,103,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.701833861929406,5.185446456936854
Density-guided CNP (ours),cell17,1,104,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.472399023080545,2.546258314917127
Density-guided CNP (ours),cell17,1,104,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.185568143795134,5.361590189343218
Density-guided CNP (ours),cell17,1,104,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.238730456436453,4.2344178039587455
Density-guided CNP (ours),cell17,1,104,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.3848651935694494,4.868477788576897
Density-guided CNP (ours),cell17,1,105,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.173670433035326,2.8449869049623433
Density-guided CNP (ours),cell17,1,105,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.75405622138198,4.793102111756376
Density-guided CNP (ours),cell17,1,105,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.168903279107706,4.304244981287492
Density-guided CNP (ours),cell17,1,105,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.4947297281423864,4.9783423231498345
Density-guided CNP (ours),cell17,1,106,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.214338487683456,2.8043188503142136
Density-guided CNP (ours),cell17,1,106,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.68880404060644,4.858354292531914
Density-guided CNP (ours),cell17,1,106,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.207425671617273,4.265722588777926
Density-guided CNP (ours),cell17,1,106,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.351544030793515,4.835156625800963
Density-guided CNP (ours),cell17,1,107,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.15081842238274,2.8678389156149287
