subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,scope,histogram_bin,pull_lower,pull_upper,count,total_cell_bin_observations,cell_count
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,23,1.5,2.0,413,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,24,2.0,2.5,426,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,25,2.5,3.0,390,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,26,3.0,3.5,391,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,27,3.5,4.0,371,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,28,4.0,4.5,455,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,29,4.5,5.0,360,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,30,5.0,5.5,335,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,31,5.5,6.0,334,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,32,6.0,6.5,352,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,33,6.5,7.0,287,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,34,7.0,7.5,275,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,35,7.5,8.0,187,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,36,8.0,8.5,176,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,37,8.5,9.0,174,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,38,9.0,9.5,155,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,39,9.5,10.0,136,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,overflow,10.0,,426,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,underflow,,-10.0,152,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,0,-10.0,-9.5,46,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,1,-9.5,-9.0,83,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,2,-9.0,-8.5,78,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,3,-8.5,-8.0,102,7260,30
