variant,method,context_size,context_seed,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
context_only,Gaussian kernel regression (context only),1000,108,full,442,58,114299,7.047878920177098,9.036227472859053
context_only,Gaussian kernel regression (context only),1000,108,DEP,6,0,1323,14.806160139492835,17.683235120115775
context_only,Gaussian kernel regression (context only),1000,108,Bi-214,6,0,1361,12.412810938264231,12.979874316234408
context_only,Gaussian kernel regression (context only),1000,108,continuum_1700_2000,60,0,8230,5.579656526054484,6.660985888733794
context_only,Gaussian kernel regression (context only),1000,108,SE,6,0,2023,9.485775101435502,13.94191000987887
context_only,Gaussian kernel regression (context only),1000,108,continuum_2200_2400,40,0,9093,14.456394119359874,15.294336406702428
context_only,Gaussian kernel regression (context only),1000,108,FE,5,1,8709,2.546815439841446,3.0106129986195844
context_only,Gaussian kernel regression (context only),1000,108,sparse_tail,13,47,68,14.61453436067682,15.730561122073643
context_only,Gaussian kernel regression (context only),1000,109,full,442,58,114299,6.956179083764709,8.947977192425
context_only,Gaussian kernel regression (context only),1000,109,DEP,6,0,1323,9.288139813535157,13.083219360271409
context_only,Gaussian kernel regression (context only),1000,109,Bi-214,6,0,1361,10.482977870106437,11.838102837186982
context_only,Gaussian kernel regression (context only),1000,109,continuum_1700_2000,60,0,8230,4.8009377236280875,6.238489720091678
context_only,Gaussian kernel regression (context only),1000,109,SE,6,0,2023,8.221456470535198,12.017333590504647
context_only,Gaussian kernel regression (context only),1000,109,continuum_2200_2400,40,0,9093,3.649885766492346,4.526460665805818
context_only,Gaussian kernel regression (context only),1000,109,FE,5,1,8709,2.945763902331778,3.5496694903924544
context_only,Gaussian kernel regression (context only),1000,109,sparse_tail,13,47,68,19.256055667412973,20.247421880368844
context_only,Gaussian kernel regression (context only),2000,100,full,442,58,114299,6.7655563292984775,8.7544075330639
context_only,Gaussian kernel regression (context only),2000,100,DEP,6,0,1323,7.15759349651212,11.068962510877993
context_only,Gaussian kernel regression (context only),2000,100,Bi-214,6,0,1361,9.196143875196947,12.60183467344495
context_only,Gaussian kernel regression (context only),2000,100,continuum_1700_2000,60,0,8230,4.267421086721698,5.0659779652946115
context_only,Gaussian kernel regression (context only),2000,100,SE,6,0,2023,8.940986123419814,13.237558090797652
context_only,Gaussian kernel regression (context only),2000,100,continuum_2200_2400,40,0,9093,4.332739321591694,5.055620580470884
context_only,Gaussian kernel regression (context only),2000,100,FE,5,1,8709,3.1552936943302314,3.8706257033964597
context_only,Gaussian kernel regression (context only),2000,100,sparse_tail,13,47,68,20.14895383214403,21.19568977118931
context_only,Gaussian kernel regression (context only),2000,101,full,442,58,114299,7.399472972997137,9.009724776215123
context_only,Gaussian kernel regression (context only),2000,101,DEP,6,0,1323,8.076134475161519,12.037579605164037
context_only,Gaussian kernel regression (context only),2000,101,Bi-214,6,0,1361,9.371619394240595,12.378919212003971
context_only,Gaussian kernel regression (context only),2000,101,continuum_1700_2000,60,0,8230,4.3629039957369535,5.573893459368198
context_only,Gaussian kernel regression (context only),2000,101,SE,6,0,2023,9.595683775716202,11.056723973422976
context_only,Gaussian kernel regression (context only),2000,101,continuum_2200_2400,40,0,9093,6.065556263797136,6.889774446388673
context_only,Gaussian kernel regression (context only),2000,101,FE,5,1,8709,2.8944986048851296,3.479486496612203
context_only,Gaussian kernel regression (context only),2000,101,sparse_tail,13,47,68,7.796438316032756,11.990852348496228
context_only,Gaussian kernel regression (context only),2000,102,full,442,58,114299,5.913305691807972,7.520689731441836
context_only,Gaussian kernel regression (context only),2000,102,DEP,6,0,1323,7.029349775161066,10.881551622508235
context_only,Gaussian kernel regression (context only),2000,102,Bi-214,6,0,1361,9.125613458854389,12.681241356502145
context_only,Gaussian kernel regression (context only),2000,102,continuum_1700_2000,60,0,8230,4.144103619030114,5.427133659226393
context_only,Gaussian kernel regression (context only),2000,102,SE,6,0,2023,8.294820610198963,11.761689912355934
context_only,Gaussian kernel regression (context only),2000,102,continuum_2200_2400,40,0,9093,6.157539465647123,7.076789992073416
context_only,Gaussian kernel regression (context only),2000,102,FE,5,1,8709,5.3975298487273315,5.974832128713751
context_only,Gaussian kernel regression (context only),2000,102,sparse_tail,13,47,68,13.936272256001619,14.591641327250024
context_only,Gaussian kernel regression (context only),2000,103,full,442,58,114299,6.518713694493409,8.592732598357
context_only,Gaussian kernel regression (context only),2000,103,DEP,6,0,1323,7.68010877257536,11.651050760801299
context_only,Gaussian kernel regression (context only),2000,103,Bi-214,6,0,1361,9.332348211238228,12.469561444794234
context_only,Gaussian kernel regression (context only),2000,103,continuum_1700_2000,60,0,8230,4.612502792766708,5.88177982404933
