method,architecture_id,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
CNP,m0,1,101,1000,clean_provenance_rerun,8.53874030668801,4.978466048319179,6.769128829330229,0.2311938450079894,0.20521955943106138,0.1812814362347126,226.38232421875,20260909-m0-seed1-final-ctx-s101-n1000-drop10100-mc50-cleanrerun
CNP,m0,1,102,1000,new_evaluation,8.500157093928614,4.905311890375856,6.838644547354647,0.23122825695113244,0.20523980335314043,0.18534882273525,226.38232421875,20260909-m0-seed1-final-ctx-s102-n1000-drop10100-mc50
CNP,m0,1,103,1000,new_evaluation,8.297540720422889,4.480563945628859,7.42214121310388,0.2313155842520323,0.2053751616602913,0.18558485992252827,226.38232421875,20260909-m0-seed1-final-ctx-s103-n1000-drop10100-mc50
CNP,m0,1,104,1000,new_evaluation,8.295094505543801,4.482014072282599,7.421260814699468,0.2313133477548329,0.2053804104540027,0.18440938694402575,226.38232421875,20260909-m0-seed1-final-ctx-s104-n1000-drop10100-mc50
CNP,m0,1,105,1000,new_evaluation,8.312681451637104,4.516115508933915,7.3717362141076475,0.23127632755942698,0.20534859868280814,0.18477556994184852,226.38232421875,20260909-m0-seed1-final-ctx-s105-n1000-drop10100-mc50
CNP,m0,1,106,1000,clean_provenance_rerun,8.347770048693029,4.564110556398793,7.2757789611470045,0.23129680814312317,0.20533810867407074,0.1819887268356979,226.38232421875,20260909-m0-seed1-final-ctx-s106-n1000-drop10100-mc50-cleanrerun
CNP,m0,1,107,1000,clean_provenance_rerun,8.424272581597393,4.727577321423014,7.053287787374869,0.2312384915154196,0.2052663780268447,0.18272248096764088,226.38232421875,20260909-m0-seed1-final-ctx-s107-n1000-drop10100-mc50-cleanrerun
CNP,m0,1,108,1000,clean_provenance_rerun,8.347006446426619,4.546051646054032,7.2870777272053555,0.23133865212482907,0.20535568822157718,0.18195461528375745,226.38232421875,20260909-m0-seed1-final-ctx-s108-n1000-drop10100-mc50-cleanrerun
CNP,m0,1,109,1000,new_evaluation,8.388821287897175,4.655858961330113,7.157964966503477,0.23124625819543337,0.20529099151909405,0.18388513196259737,226.38232421875,20260909-m0-seed1-final-ctx-s109-n1000-drop10100-mc50
CNP,m0,1,100,2000,clean_provenance_rerun,8.351988934194585,4.5678866785376195,7.269664454387284,0.23129785008998618,0.20533414527498373,0.17288107238709927,226.38232421875,20260909-m0-seed1-final-ctx-s100-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,101,2000,clean_provenance_rerun,8.387799151100367,4.643984910234855,7.162695966200852,0.2312698786257573,0.20530117012979507,0.17091313982382417,226.38232421875,20260909-m0-seed1-final-ctx-s101-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,102,2000,new_evaluation,8.366270392026045,4.590104847832144,7.227511785067334,0.23130204984983485,0.20532757076755304,0.17583973612636328,226.38232421875,20260909-m0-seed1-final-ctx-s102-n2000-drop10100-mc50
CNP,m0,1,103,2000,new_evaluation,8.389631512137225,4.6570331115991435,7.152846097081563,0.23124599821583144,0.20528686145445094,0.1754987076856196,226.38232421875,20260909-m0-seed1-final-ctx-s103-n2000-drop10100-mc50
CNP,m0,1,104,2000,new_evaluation,8.278776679711866,4.449170736155209,7.474202156111341,0.23134892158466414,0.20541334015720283,0.17527361819520593,226.38232421875,20260909-m0-seed1-final-ctx-s104-n2000-drop10100-mc50
CNP,m0,1,105,2000,new_evaluation,8.315611401627464,4.513754434326965,7.366390092108246,0.23129882820567507,0.2053580397001437,0.17451065918430686,226.38232421875,20260909-m0-seed1-final-ctx-s105-n2000-drop10100-mc50
CNP,m0,1,106,2000,clean_provenance_rerun,8.320677533193352,4.5176320951719156,7.352705578839823,0.2313031827933473,0.20535231440405816,0.17304139724001288,226.38232421875,20260909-m0-seed1-final-ctx-s106-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,107,2000,clean_provenance_rerun,8.398479241194353,4.676471054618414,7.126077275763593,0.23123607694443363,0.2052730612978308,0.18852536799386144,226.38232421875,20260909-m0-seed1-final-ctx-s107-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,108,2000,clean_provenance_rerun,8.382783592390094,4.629147021723477,7.178960362920779,0.23127815194225182,0.20530416870780197,0.17198774870485067,226.38232421875,20260909-m0-seed1-final-ctx-s108-n2000-drop10100-mc50-cleanrerun
CNP,m0,1,109,2000,new_evaluation,8.377061151732997,4.635620805071274,7.186899488951087,0.23123654683512596,0.2052852402944601,0.17426666803658009,226.38232421875,20260909-m0-seed1-final-ctx-s109-n2000-drop10100-mc50
CNP,m0,2,100,250,new_evaluation,8.050608517860708,4.572733777665873,9.042540705322274,0.2358228206253613,0.20730868921869572,0.21622804971411824,226.38232421875,20260909-m0-seed2-final-ctx-s100-n250-drop10100-mc50
CNP,m0,2,101,250,new_evaluation,8.017120597831687,4.578558058275213,8.777520732161657,0.23532005017654442,0.20703157493528754,0.1841352740302682,226.38232421875,20260909-m0-seed2-final-ctx-s101-n250-drop10100-mc50
CNP,m0,2,102,250,new_evaluation,7.984547251257763,4.591988923396807,8.707137719172891,0.23508946369349332,0.2068926820291934,0.18343031592667103,226.38232421875,20260909-m0-seed2-final-ctx-s102-n250-drop10100-mc50
CNP,m0,2,103,250,new_evaluation,7.97131402293223,4.577963506373874,8.869184392999687,0.2352432255708718,0.20695587512750793,0.18216754589229822,226.38232421875,20260909-m0-seed2-final-ctx-s103-n250-drop10100-mc50
CNP,m0,2,104,250,new_evaluation,7.996123118935712,4.590581625793293,8.762593316193584,0.23520625605635853,0.20695884182521726,0.183554797898978,226.38232421875,20260909-m0-seed2-final-ctx-s104-n250-drop10100-mc50
CNP,m0,2,105,250,new_evaluation,7.951677530558077,4.599916777140954,8.750769375742816,0.23501089081540927,0.2068280201483237,0.1842206190340221,226.38232421875,20260909-m0-seed2-final-ctx-s105-n250-drop10100-mc50
CNP,m0,2,106,250,new_evaluation,7.964078211913058,4.618614615797057,8.587755445195002,0.23485434645009995,0.20676386961720963,0.18402271205559373,226.38232421875,20260909-m0-seed2-final-ctx-s106-n250-drop10100-mc50
CNP,m0,2,107,250,new_evaluation,7.992509374035148,4.587383568504517,8.769564624315372,0.23520344729727777,0.20695348232492683,0.18328084331005812,226.38232421875,20260909-m0-seed2-final-ctx-s107-n250-drop10100-mc50
CNP,m0,2,108,250,new_evaluation,8.09418948629091,4.584088144901466,9.283918442393523,0.23634088124574382,0.20761201853078193,0.18470796989277005,226.38232421875,20260909-m0-seed2-final-ctx-s108-n250-drop10100-mc50
CNP,m0,2,109,250,new_evaluation,7.933280717284684,4.724936505253181,8.28132801659888,0.2341739528137186,0.20639157334773914,0.18342813896015286,226.38232421875,20260909-m0-seed2-final-ctx-s109-n250-drop10100-mc50
CNP,m0,2,100,500,new_evaluation,7.981958196071109,4.612272879621354,8.522134492478756,0.23483834214718372,0.20677412670963805,0.18226244114339352,226.38232421875,20260909-m0-seed2-final-ctx-s100-n500-drop10100-mc50
CNP,m0,2,101,500,new_evaluation,8.024622504411086,4.586313535114632,8.679575108631646,0.2352203707410239,0.20699032075745283,0.1817287472076714,226.38232421875,20260909-m0-seed2-final-ctx-s101-n500-drop10100-mc50
CNP,m0,2,102,500,new_evaluation,7.966426928245827,4.648803651385659,8.411762427511945,0.23459363531631505,0.20663694426146503,0.18434923887252808,226.38232421875,20260909-m0-seed2-final-ctx-s102-n500-drop10100-mc50
CNP,m0,2,103,500,new_evaluation,8.038425967543628,4.573562586598184,8.987669458501186,0.2356911977745605,0.2072322069572952,0.18503167107701302,226.38232421875,20260909-m0-seed2-final-ctx-s103-n500-drop10100-mc50
