method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,631.0,0.3983369430104892,0.01312477926161787,0.004260644304679952,3,10,50
Attentive CNP + PE,m2,632.0,0.4022161012689273,0.021454399749024116,0.004502124861889931,3,10,50
Attentive CNP + PE,m2,633.0,0.41002049126227696,0.025988777077626205,0.004163844219817536,3,10,50
Attentive CNP + PE,m2,634.0,0.38150321536262827,0.024363627027081346,0.004114803555975928,3,10,50
Attentive CNP + PE,m2,635.0,0.3620984943509102,0.01330957672699409,0.004321432283916114,3,10,50
Attentive CNP + PE,m2,636.0,0.39664936333894724,0.008841258155374006,0.0038769882091568317,3,10,50
Attentive CNP + PE,m2,637.0,0.46236117156346634,0.03826671808645993,0.00425016625724286,3,10,50
Attentive CNP + PE,m2,638.0,0.5145266368190448,0.04654943195125787,0.004075063144827914,3,10,50
Attentive CNP + PE,m2,639.0,0.5022916650176049,0.023908194636793383,0.004382771519991818,3,10,50
Attentive CNP + PE,m2,640.0,0.4790300953388214,0.0112860707443035,0.0042195557183053916,3,10,50
Attentive CNP + PE,m2,641.0,0.45305402410030365,0.03959412355369536,0.003958141397706247,3,10,50
Attentive CNP + PE,m2,642.0,0.43485243517160416,0.04480509754750645,0.004182306361089153,3,10,50
Attentive CNP + PE,m2,643.0,0.43578711618979776,0.03522843171219381,0.0043095895511387206,3,10,50
Attentive CNP + PE,m2,644.0,0.39945050076643623,0.02040401353225382,0.004607982665779431,3,10,50
Attentive CNP + PE,m2,645.0,0.38418047650655107,0.018788398980439967,0.004025947576691002,3,10,50
Attentive CNP + PE,m2,646.0,0.3824067246119182,0.008143331470487578,0.003908332444195371,3,10,50
Attentive CNP + PE,m2,647.0,0.3560940231482188,0.026104533689788413,0.003850322298875483,3,10,50
