method,architecture_id,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,1,101,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02273807965944563,25.5698964127978
CNP,m0,1,101,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.027676164025269845,28.44547209636993
CNP,m0,1,101,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4524712308827006,2.031141364124747
CNP,m0,1,102,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.00879001328679685,21.02744735128447
CNP,m0,1,102,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02260785529751841,25.56976618843587
CNP,m0,1,102,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.02786149066063004,28.44528676973457
CNP,m0,1,102,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4516592412504322,2.0319533537570154
CNP,m0,1,103,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.00958541593421014,21.02824275393188
CNP,m0,1,103,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02281623184896553,25.56997456498732
CNP,m0,1,103,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.028552744046395073,28.4445955163488
CNP,m0,1,103,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.45622358938353647,2.0273890056239114
CNP,m0,1,104,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.009322969858216457,21.027980307855888
CNP,m0,1,104,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.022731154037081147,25.569889487175434
CNP,m0,1,104,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.028061494021469624,28.445086766373727
CNP,m0,1,104,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4519739065885542,2.0316386884188935
CNP,m0,1,105,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.009695441547274974,21.028352779544946
CNP,m0,1,105,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.022789882604157263,25.56994821574251
CNP,m0,1,105,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0285392697270459,28.44460899066815
CNP,m0,1,105,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.45457641336290044,2.0290361816445475
CNP,m0,1,106,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.008560340414665024,21.027217678412335
CNP,m0,1,106,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.022904889399477657,25.570063222537833
CNP,m0,1,106,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.027116224580392423,28.446032035814806
CNP,m0,1,106,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.44839012015010504,2.035222474857343
CNP,m0,1,107,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.009181284155335145,21.027838622153006
CNP,m0,1,107,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02234540170122923,25.569503734839582
CNP,m0,1,107,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.027454194492215755,28.445694065902984
CNP,m0,1,107,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4538488211601188,2.029763773847329
CNP,m0,1,108,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.010010090795742332,21.028667428793412
CNP,m0,1,108,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.022949952953321695,25.570108286091674
