method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Attentive CNP,m1,18866,0,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0184549910799081,25.52870334205845
Attentive CNP,m1,18866,0,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0135274873192758,28.486675747714475
Attentive CNP,m1,18866,0,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6172555316710876,1.86635706333636
Attentive CNP,m1,18866,0,104,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0226800648367331,21.041337402834404
Attentive CNP,m1,18866,0,104,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0189236301143647,25.52823470302399
Attentive CNP,m1,18866,0,104,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0134318336780014,28.4865800940732
Attentive CNP,m1,18866,0,104,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6110427653468253,1.8725698296606224
Attentive CNP,m1,18866,0,105,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0231011875194697,21.04175852551714
Attentive CNP,m1,18866,0,105,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0185134256668995,25.528644907471453
Attentive CNP,m1,18866,0,105,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0139394075256871,28.48708766792089
Attentive CNP,m1,18866,0,105,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6156549078401408,1.8679576871673071
Attentive CNP,m1,18866,0,106,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0232652413534539,21.041922579351123
Attentive CNP,m1,18866,0,106,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0177143172647498,25.529444015873604
Attentive CNP,m1,18866,0,106,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0143716473483657,28.487519907743565
